time,cost
2023/4/10,4.672154784
2023/4/11,4.632306175
2023/4/12,4.644656114
2023/4/13,6.833776371
2023/4/14,54.91503589
2023/4/15,87.88330826
2023/4/16,87.70914592
2023/4/17,156.7736978
2023/4/18,119.5972194
2023/4/19,113.5098483
2023/4/20,113.3429362
2023/4/21,110.8527653
2023/4/22,111.8297386
2023/4/23,113.0245629
2023/4/24,42.30947162
2023/4/25,18.47782139
2023/4/26,18.91008579
2023/4/27,19.97254886
2023/4/28,19.80951725
2023/4/29,19.94446277
2023/4/30,19.8243497
2023/5/1,59.39017924
2023/5/2,17.95233885
2023/5/3,19.27931066
2023/5/4,18.80607278
2023/5/5,20.79980346
2023/5/6,28.01323255
2023/5/7,22.66490059
2023/5/8,23.15728328
2023/5/9,22.33172324
2023/5/10,21.93313338
2023/5/11,19.74568798
2023/5/12,19.54443346
2023/5/13,19.39700141
2023/5/14,19.63663057
2023/5/15,19.29148159
2023/5/16,19.36424823
2023/5/17,19.37329444
2023/5/18,20.77110933
2023/5/19,20.77487977
2023/5/20,20.93639681
2023/5/21,20.93621517
2023/5/22,21.0517972
2023/5/23,32.47637113
2023/5/24,33.46034946
2023/5/25,33.85612882
2023/5/26,35.281403
2023/5/27,36.55465868
2023/5/28,36.5761684
2023/5/29,37.03897545
2023/5/30,38.80649236
2023/5/31,38.91798503
2023/6/1,127.2997981
2023/6/2,36.37990374
2023/6/3,35.97995251
2023/6/4,38.56336143
2023/6/5,38.45320715
2023/6/6,47.94491482
2023/6/7,57.98318361
2023/6/8,59.2997068
2023/6/9,58.58351308
2023/6/10,59.07429558
2023/6/11,59.05668971
2023/6/12,61.05002335
2023/6/13,63.71078932
2023/6/14,66.03309365
2023/6/15,63.96808581
2023/6/16,62.66946585
2023/6/17,62.43157609
2023/6/18,61.74759864
2023/6/19,61.98421142
2023/6/20,65.62607046
2023/6/21,75.37372534
2023/6/22,70.75587469
2023/6/23,70.09623931
2023/6/24,69.90533095
2023/6/25,61.50187981
2023/6/26,61.12688021
2023/6/27,63.62547625
